Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641842d5e01969faea8ca851,603a2ad068ff0b54ee864cdc,AWAITING REVIEW,2023-03-20T11:26:16.497000Z,2023-03-20T11:28:42.070000Z,,2023-03-20T11:28:46.585631Z,146,C2AG44FS,194,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
641842d659d905aca31e56a7,5ca606a5614b7b0015be495e,AWAITING REVIEW,2023-03-20T11:26:14.930000Z,2023-03-20T11:28:03.828000Z,,2023-03-20T11:28:04.455750Z,109,C2AG44FS,1634,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842dd90561d19360218e5,63656739e1925e914b843db3,AWAITING REVIEW,2023-03-20T11:26:25.865000Z,2023-03-20T11:33:32.386000Z,,2023-03-20T11:33:33.606535Z,427,C2AG44FS,134,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842de5971c85bc4c9465f,60c2101c738af698d2f079e0,AWAITING REVIEW,2023-03-20T11:26:25.418000Z,2023-03-20T11:29:34.506000Z,,2023-03-20T11:29:35.156702Z,190,C2AG44FS,267,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842df052c99e86d85d7f9,5a25cb0ab279aa0001b0dc01,AWAITING REVIEW,2023-03-20T11:26:26.177000Z,2023-03-20T11:28:51.197000Z,,2023-03-20T11:28:51.861220Z,146,C2AG44FS,752,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
641842e0b76e15a0988022da,63761d26aceed18c21423b5f,AWAITING REVIEW,2023-03-20T11:26:32.622000Z,2023-03-20T11:32:24.585000Z,,2023-03-20T11:32:25.531208Z,352,C2AG44FS,51,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641842e22a15803ca383a56d,60dd7e78241358532c6a9024,AWAITING REVIEW,2023-03-20T11:26:29.194000Z,2023-03-20T11:30:16.105000Z,,2023-03-20T11:30:16.643349Z,227,C2AG44FS,611,English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842e3ca333962dd7c0a8c,5995b226cf1d1700016efbc1,AWAITING REVIEW,2023-03-20T11:26:32.585000Z,2023-03-20T11:28:46.580000Z,,2023-03-20T11:28:47.138598Z,134,C2AG44FS,324,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641842e50905e71c5a257abe,5ad3a3824d061300011b2164,AWAITING REVIEW,2023-03-20T11:26:41.086000Z,2023-03-20T11:28:47.498000Z,,2023-03-20T11:28:48.678888Z,127,C2AG44FS,1314,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
641842e60609952fac0533c7,5ea1950819664f04542a50bf,AWAITING REVIEW,2023-03-20T11:26:32.888000Z,2023-03-20T11:34:05.518000Z,,2023-03-20T11:34:06.129814Z,453,C2AG44FS,1062,English,82,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
